Country Name;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Aruba;33729.5119101741;35324.0720643325;34095.6471714416;35901.653313159;35657.2871970529;35972.8664446515;36117.5082112517;37524.9284784013;39287.0195169703;39110.2761899842;28976.4635497124;35696.3093722926;41649.4507917816;44967.3445127078
;3149.01959831958;3253.72350463828;3171.57027555074;3290.84430048203;3426.57581807575;3456.3654480221;3551.06932335969;3703.88660541311;3648.31091074507;3742.84895486287;3629.50800351872;3907.95163712488;4229.68210035357;4374.22953170023
Afghanistan;1765.53802828895;1744.06062321558;1988.42930381554;2133.24127098647;2224.49074815215;2284.07584789349;2213.1814410479;2335.79586234454;2432.27670083336;2583.48533239877;2561.98176058622;2144.16657002819;2122.99581512665;2211.28063454007
;3477.31974850969;3620.64951080036;3735.92537325613;3899.64589696862;4103.76560363713;4052.73379670423;3996.86426739139;4063.18504982506;4198.08104224978;4454.15603820527;4441.93733816671;4698.92689418476;5107.2729392421;5343.4685293794
Angola;6607.02219696569;6711.39025723883;7354.94296631261;7561.03920495179;7990.27445672775;7119.72644274401;6843.73589660504;6992.7288342812;7347.79993635052;7528.38241791217;6450.74994625154;7408.12659121059;7924.88880583905;8040.70244971812
Albanie;9626.66489321844;10207.1698784161;10525.7225348883;10570.4198326029;11258.4572796244;11658.0457494095;12078.3488244026;12769.7625847853;13695.9139741887;14791.7339615133;14511.4389162881;16353.808681641;19596.7202597429;21925.6083767592
Andorre;43853.1712389445;46436.1158605018;45503.0444835288;45609.2307220926;48505.6017354794;50733.2390011701;53110.1426270832;53084.8639640903;55244.6554088177;57475.0692842215;52095.8414004627;59332.2029100127;68470.075948385;71730.6686821645
Le monde arabe;14651.3194425117;15180.3159629306;16008.8456975336;15901.7745263347;15654.4506056704;14148.1366868659;13685.3401012034;14286.478292971;15319.0196998155;15452.5417546514;14132.444333647;15534.5237971213;17198.6558424865;17634.8156082296
Émirats arabes unis;83670.9093774571;87709.0444079967;87339.687656397;85514.8024335635;85248.1547348301;71720.3084491294;67702.1473930392;68043.2312133421;75071.1800501443;76884.9468968289;65352.8344194961;67401.1212950201;73777.7443949344;76110.3848456483
Argentine;17847.6110371438;19104.9909405228;19430.4178068112;19928.989490167;19487.4181748868;19899.1499275245;20105.761359796;23385.0740904917;24410.3919063335;23516.8261980886;22393.3479575353;26300.274261175;29597.6938429264;30082.3045247323
Arménie;7095.21267972094;7624.26772626905;8942.63537897164;9454.87852836557;9736.2349746279;9756.84084836026;10570.2720413936;12066.0043093819;12877.4937543553;14975.7539538157;14706.3173043422;15921.705281964;19161.370051419;21342.5145334886
Samoa américaines;;;;;;;;;;;;;;
Antigua-et-Barbuda;23958.4212623175;23692.724350004;22377.3619121949;21759.3680239872;21673.3949588348;20989.3858896307;21321.7097579145;21370.3095091624;24524.2137953887;26533.7301936962;22356.7687224849;25733.2948269644;30031.7474698743;32149.1403648823
Australie;39372.8511038542;42022.7392158859;42863.3483169945;45930.8505081503;46903.770304139;46275.9119122188;47260.1529933747;48371.1409956585;50183.6898127634;52673.0638176231;53984.1246979075;57321.5631542565;65284.928186312;69231.3103595531
