Pays,Region,Sub-region,Population,Exportations,Importations,Consommation,Production,Stabilité Politique,Inflation,Activité économique,Revenu,KFC,Distance
Fédération de Russie,Europe,Eastern Europe,145734038.0,259000.0,52000.0,4953000.0,5308000.0,-0.92,6.69445891957612,44120.14453125,12810.0,0.0,3530.0
Indonésie,Asia,South-eastern Asia,267670543.0,1000.0,0.0,4077000.0,4083000.0,-0.44,3.67013142377007,15415.6057934697,4520.0,689.0,11695.0
Mexique,Americas,Latin America and the Caribbean,126190788.0,8000.0,1158000.0,4950000.0,3800000.0,-0.69,5.52796087314389,25351.4404066599,10720.0,393.0,11767.0
Pologne,Europe,Eastern Europe,37921592.0,1513000.0,78000.0,1177000.0,2734000.0,0.5,11.5289127961105,49338.2844409538,19110.0,315.0,5014.0
Égypte,Africa,Northern Africa,98423598.0,3000.0,20000.0,2642000.0,2626000.0,-1.03,33.8847763115546,18524.5572197031,4040.0,164.0,2026.0
Japon,Asia,Eastern Asia,127202192.0,4000.0,1163000.0,3458000.0,2372000.0,1.07,3.26813365933163,50105.9043606158,42550.0,1131.0,16455.0
Argentine,Americas,Latin America and the Caribbean,44361150.0,182000.0,14000.0,2193000.0,2361000.0,-0.01,94.8,30082.3045247323,11820.0,0.0,13197.0
Afrique du Sud,Africa,Sub-Saharan Africa,57792518.0,50000.0,304000.0,2370000.0,1958000.0,-0.72,6.0739085322053,15194.1991761106,6530.0,955.0,10913.0
Thaïlande,Asia,South-eastern Asia,69428453.0,1037000.0,2000.0,800000.0,1913000.0,-0.38,1.22802623546169,23465.0631354173,7230.0,717.0,12690.0
Colombie,Americas,Latin America and the Caribbean,49661048.0,0.0,81000.0,1901000.0,1820000.0,-0.64,11.7359044948689,21448.0925680684,6640.0,0.0,8355.0
Pérou,Americas,Latin America and the Caribbean,31989260.0,1000.0,87000.0,1479000.0,1802000.0,-0.45,6.45561348369586,16974.2420029886,6920.0,0.0,10735.0
Malaisie,Asia,South-eastern Asia,31528033.0,56000.0,177000.0,1801000.0,1678000.0,0.14,2.48886560125754,36416.5401853099,11610.0,718.0,10657.0
Espagne,Europe,Southern Europe,46692858.0,229000.0,212000.0,1527000.0,1585000.0,0.27,3.53236133492433,54123.111397101,32000.0,143.0,1070.0
Canada,Americas,Northern America,37074562.0,151000.0,206000.0,1583000.0,1531000.0,0.77,3.87900159788426,61650.9898668262,53300.0,639.0,6159.0
Allemagne,Europe,Western Europe,83124418.0,664000.0,789000.0,1376000.0,1507000.0,0.61,5.94643667725823,71438.2896605113,53800.0,189.0,3770.0
Philippines,Asia,South-eastern Asia,106651394.0,2000.0,360000.0,1818000.0,1459000.0,-0.71,5.97802515541409,10988.6300412045,4010.0,332.0,13612.0
Australie,Oceania,Australia and New Zealand,24898152.0,56000.0,4000.0,1285000.0,1397000.0,0.93,5.5970149253731,69231.3103595531,60710.0,653.0,16856.0
Ukraine,Europe,Eastern Europe,44246156.0,425000.0,79000.0,908000.0,1253000.0,-2.0,12.8490222828559,17630.125,3930.0,48.0,3171.0
Viet Nam,Asia,South-eastern Asia,95545962.0,7000.0,270000.0,1468000.0,1249000.0,-0.03,3.25289282667662,14973.8839607259,3960.0,136.0,12350.0
Italie,Europe,Southern Europe,60627291.0,152000.0,142000.0,1199000.0,1207000.0,0.41,5.62219442195901,59719.7594054714,38330.0,105.0,516.0
Arabie saoudite,Asia,Western Asia,33702756.0,21000.0,551000.0,1659000.0,1130000.0,-0.36,2.32708518362692,61102.915372338,31120.0,220.0,3365.0
République de Corée,Asia,Eastern Asia,51171706.0,66000.0,224000.0,1130000.0,972000.0,0.56,3.5974562502901,54033.1599772519,36160.0,190.0,16167.0
Pays-Bas (Royaume des),Europe,Western Europe,17059560.0,1365000.0,897000.0,242000.0,876000.0,0.72,3.83839354342808,80760.5956257026,60030.0,77.0,3456.0
Chili,Americas,Latin America and the Caribbean,18729160.0,188000.0,174000.0,755000.0,769000.0,0.12,7.58168251407969,33234.9798440715,15470.0,0.0,14329.0
Israël,Asia,Western Asia,8381516.0,5000.0,0.0,640000.0,647000.0,-1.29,4.22535211267609,53823.287887025,55120.0,12.0,2284.0
Maroc,Africa,Northern Africa,36029093.0,1000.0,10000.0,654000.0,645000.0,-0.32,6.09114152504141,9842.888671875,3690.0,45.0,1106.0
Équateur,Americas,Latin America and the Caribbean,17084358.0,0.0,1000.0,518000.0,517000.0,-0.24,2.21568764237058,16062.0163648341,6590.0,0.0,10101.0
Bolivie (État plurinational de),Americas,Latin America and the Caribbean,11353142.0,0.0,3000.0,519000.0,516000.0,-0.28,2.57688800489192,10925.2730516706,3530.0,0.0,14329.0
Bélarus,Europe,Eastern Europe,9452617.0,192000.0,16000.0,335000.0,512000.0,-0.79,5.0005990309131,30763.0198215957,7210.0,19.0,5157.0
Hongrie,Europe,Eastern Europe,9707499.0,266000.0,93000.0,236000.0,485000.0,0.64,17.1249659678737,45931.0864924791,19050.0,80.0,1976.0
Roumanie,Europe,Eastern Europe,19506114.0,100000.0,135000.0,425000.0,475000.0,0.49,10.3971874764996,47863.9519557787,15440.0,94.0,2858.0
Belgique,Europe,Western Europe,11482178.0,525000.0,309000.0,189000.0,450000.0,0.58,4.04901077613941,72070.7590599945,53680.0,15.0,3514.0
Guatemala,Americas,Latin America and the Caribbean,17247849.0,9000.0,143000.0,518000.0,424000.0,-0.3,6.88512823344287,13750.28790648,5220.0,0.0,10592.0
Portugal,Europe,Southern Europe,10256193.0,36000.0,94000.0,337000.0,369000.0,0.86,4.31128191898672,48859.1415409999,25820.0,34.0,1730.0
République dominicaine,Americas,Latin America and the Caribbean,10627141.0,0.0,54000.0,414000.0,365000.0,0.33,4.78561281021135,25624.0097724218,9070.0,0.0,7357.0
Kazakhstan,Asia,Central Asia,18319618.0,15000.0,172000.0,423000.0,289000.0,-0.36,14.7249900200331,38515.1836009977,9420.0,66.0,3529.0
Bangladesh,Asia,Southern Asia,161376708.0,0.0,0.0,284000.0,284000.0,-1.09,9.8835030377921,9147.77750665547,2850.0,26.0,10613.0
Algérie,Africa,Northern Africa,42228408.0,0.0,0.0,275000.0,275000.0,-0.74,9.32217375928322,16824.4879032987,4430.0,2.0,865.0
Honduras,Americas,Latin America and the Caribbean,9587522.0,5000.0,18000.0,271000.0,258000.0,-0.55,6.66325180347457,7178.80729487996,2700.0,0.0,9254.0
Jordanie,Asia,Western Asia,9965318.0,8000.0,56000.0,300000.0,252000.0,-0.3,2.08486986327134,10391.0136135688,4370.0,27.0,2817.0
Grèce,Europe,Southern Europe,10522246.0,47000.0,82000.0,272000.0,248000.0,0.06,3.46480128513405,41922.6105205351,21970.0,12.0,1600.0
Tunisie,Africa,Northern Africa,11565201.0,4000.0,2000.0,240000.0,242000.0,-0.6,9.32899597507865,13931.8593241649,3880.0,11.0,756.0
Sri Lanka,Asia,Southern Asia,21228763.0,1000.0,0.0,228000.0,228000.0,-0.79,16.5411742279832,14460.7414188157,3620.0,39.0,8395.0
Panama,Americas,Latin America and the Caribbean,4176868.9999999995,0.0,18000.0,223000.0,224000.0,0.3,1.48641355277038,39803.3189532895,16970.0,0.0,8825.0
Nouvelle-Zélande,Oceania,Australia and New Zealand,4743131.0,15000.0,1000.0,134000.0,221000.0,1.31,5.73316283034957,53834.3700074843,48530.0,100.0,19819.0
Tchéquie,Europe,Eastern Europe,10665677.0,34000.0,134000.0,251000.0,172000.0,0.82,10.6612601372426,55875.1274861367,26060.0,114.0,3768.0
Suède,Europe,Northern Europe,9971638.0,47000.0,98000.0,172000.0,172000.0,0.9,8.54862489748902,69223.5442336891,62630.0,12.0,4178.0
El Salvador,Americas,Latin America and the Caribbean,6420746.0,2000.0,21000.0,178000.0,160000.0,-0.15,4.04554694222477,12657.0340625254,4710.0,0.0,10306.0
Irlande,Europe,Northern Europe,4818690.0,95000.0,110000.0,157000.0,159000.0,0.88,6.29942487419125,127873.163599903,78890.0,40.0,3481.0
Iraq,Asia,Western Asia,38433600.0,0.0,470000.0,627000.0,157000.0,-2.47,4.35835351089586,14107.2979268389,5490.0,8.0,8280.0
Autriche,Europe,Western Europe,8891388.0,82000.0,121000.0,171000.0,152000.0,0.64,7.81413417002832,73134.7854032466,55930.0,11.0,1976.0
Costa Rica,Americas,Latin America and the Caribbean,4999441.0,3000.0,20000.0,167000.0,152000.0,0.95,0.525193508693455,28536.3687260831,13210.0,0.0,9100.0
Danemark,Europe,Northern Europe,5752126.0,145000.0,99000.0,105000.0,152000.0,0.87,3.30517811237606,77236.81740886,73320.0,10.0,4571.0
Finlande,Europe,Northern Europe,5522576.0,8000.0,24000.0,131000.0,147000.0,0.89,6.25064322154763,64055.858142792,54710.0,6.0,5203.0
Jamaïque,Americas,Latin America and the Caribbean,2934847.0,2000.0,21000.0,157000.0,140000.0,0.38,6.47413734662063,11421.7535570054,5730.0,0.0,8108.0
Azerbaïdjan,Asia,Western Asia,9949537.0,1000.0,38000.0,166000.0,130000.0,-0.93,8.78543049849081,23597.8378621757,5670.0,11.0,3529.0
Libye,Africa,Northern Africa,6678559.0,0.0,105000.0,236000.0,130000.0,-2.2,2.37317531435169,13848.7950025505,5960.0,0.0,1264.0
Liban,Asia,Western Asia,6859408.0,3000.0,12000.0,129000.0,120000.0,-1.47,221.341644023365,12292.8407305502,4170.0,23.0,2438.0
Serbie,Europe,Southern Europe,8802754.0,7000.0,23000.0,83000.0,116000.0,-0.17,12.3719043552519,29622.0783526643,9790.0,13.0,1642.0
Norvège,Europe,Northern Europe,5337962.0,0.0,4000.0,117000.0,115000.0,0.86,5.51784987104659,104416.24489893,94420.0,0.0,4221.0
Bulgarie,Europe,Eastern Europe,7051608.0,44000.0,90000.0,142000.0,113000.0,0.25,9.44284140088564,38904.918552163,12770.0,28.0,2582.0
Suisse,Europe,Western Europe,8525611.0,3000.0,49000.0,157000.0,112000.0,1.16,2.13540088016377,92580.3539076339,95480.0,11.0,0.0
Lituanie,Europe,Northern Europe,2801264.0,51000.0,51000.0,73000.0,86000.0,0.65,9.11731962390475,53184.755285749,23970.0,6.0,5156.0
Paraguay,Americas,Latin America and the Caribbean,6956066.0,9000.0,1000.0,71000.0,79000.0,0.04,4.63202285403356,17516.798469519,5920.0,0.0,11778.0
Uruguay,Americas,Latin America and the Caribbean,3449285.0,1000.0,12000.0,81000.0,75000.0,1.1,5.86910359896119,34426.6024727939,17830.0,0.0,11778.0
Slovénie,Europe,Southern Europe,2077837.0,34000.0,25000.0,55000.0,74000.0,0.71,7.44687717385838,55710.4313942924,29580.0,1.0,1978.0
Croatie,Europe,Southern Europe,4156404.9999999995,22000.0,34000.0,79000.0,71000.0,0.61,7.9412817758683,46777.5010828572,19370.0,8.0,1904.0
Bosnie-Herzégovine,Europe,Southern Europe,3323925.0,14000.0,15000.0,71000.0,69000.0,-0.44,6.1059011284828,23421.8698057032,7710.0,0.0,1643.0
Koweït,Asia,Western Asia,4137312.0,4000.0,163000.0,223000.0,66000.0,0.28,3.64216403030709,51561.3638127917,39000.0,66.0,8248.0
Guyana,Americas,Latin America and the Caribbean,779006.0,0.0,1000.0,53000.0,57000.0,0.03,2.82110335099641,54732.1440663013,9780.0,0.0,6818.0
Maurice,Africa,Sub-Saharan Africa,1267185.0,0.0,4000.0,59000.0,56000.0,0.84,7.05298238454743,29511.2274099553,11010.0,22.0,9558.0
Émirats arabes unis,Asia,Western Asia,9630959.0,133000.0,638000.0,522000.0,53000.0,0.7,1.62670837213248,76110.3848456483,46070.0,151.0,7584.0
Slovaquie,Europe,Eastern Europe,5453014.0,37000.0,86000.0,70000.0,51000.0,0.44,10.5319476645211,44688.7739689518,22090.0,7.0,1976.0
Trinité-et-Tobago,Americas,Latin America and the Caribbean,1389843.0,0.0,21000.0,72000.0,51000.0,0.36,4.62930242419968,35188.5349159275,17930.0,0.0,6959.0
République de Moldova,Europe,Eastern Europe,4051944.0,0.0,23000.0,69000.0,46000.0,-0.67,13.41701043813,17596.8834167667,5520.0,2.0,2857.0
Fidji,Oceania,Melanesia,883483.0,0.0,5000.0,35000.0,46000.0,0.76,2.14817440623896,15152.1376449166,5440.0,0.0,19335.0
Lettonie,Europe,Northern Europe,1928459.0,20000.0,46000.0,54000.0,37000.0,0.48,8.93804623316637,41251.7728022402,22260.0,5.0,5031.0
Chypre,Asia,Western Asia,1189265.0,1000.0,18000.0,36000.0,27000.0,0.42,3.54134188751663,60144.59375,33070.0,25.0,2404.0
Qatar,Asia,Western Asia,2781682.0,0.0,149000.0,159000.0,26000.0,0.96,3.02764899198902,128918.549288257,71070.0,39.0,8008.0
Géorgie,Asia,Western Asia,4002942.0,19000.0,67000.0,72000.0,24000.0,-0.44,2.48776056578715,25071.9677147202,5690.0,5.0,3616.0
Estonie,Europe,Northern Europe,1322920.0,14000.0,25000.0,28000.0,23000.0,0.72,9.15922507983982,49500.6536206928,27290.0,7.0,5187.0
Belize,Americas,Latin America and the Caribbean,383071.0,0.0,0.0,12000.0,21000.0,0.43,4.38984017487675,13823.4379513758,6710.0,0.0,9238.0
Albanie,Europe,Southern Europe,2882740.0,0.0,47000.0,64000.0,18000.0,0.11,4.75976421930107,21925.6083767592,6820.0,8.0,1398.0
Barbade,Americas,Latin America and the Caribbean,286641.0,0.0,3000.0,16000.0,16000.0,1.15,9.79207077126447,21336.1575553015,22290.0,0.0,6652.0
Suriname,Americas,Latin America and the Caribbean,575990.0,3000.0,18000.0,28000.0,13000.0,0.4,51.5873159600861,21135.5456365133,5040.0,0.0,6476.0
Arménie,Asia,Western Asia,2951745.0,0.0,40000.0,51000.0,12000.0,-0.8,1.98041877615554,21342.5145334886,5680.0,11.0,3529.0
Namibie,Africa,Sub-Saharan Africa,2448301.0,19000.0,32000.0,24000.0,12000.0,0.56,5.87993463284275,11215.5468409261,4300.0,21.0,9636.0
Islande,Europe,Northern Europe,336713.0,0.0,2000.0,11000.0,10000.0,1.26,8.73630299937298,78380.0532417946,73720.0,8.0,4583.0
Bahreïn,Asia,Western Asia,1569446.0,1000.0,63000.0,69000.0,9000.0,-0.41,0.0746206782192256,63497.6169362333,28310.0,24.0,8046.0
Oman,Asia,Western Asia,4829473.0,15000.0,105000.0,87000.0,7000.0,0.53,0.950782997762827,42519.7049918962,19610.0,36.0,5857.0
Papouasie-Nouvelle-Guinée,Oceania,Melanesia,8606323.0,0.0,29000.0,36000.0,7000.0,-0.61,2.29869991296791,4632.97979376141,2690.0,0.0,15880.0
Bahamas,Americas,Latin America and the Caribbean,385637.0,0.0,22000.0,26000.0,6000.0,0.88,3.05291578969743,36742.0620432456,31780.0,0.0,7861.0
Eswatini,Africa,Sub-Saharan Africa,1136281.0,1000.0,3000.0,7000.0,5000.0,-0.25,2.59801620311077,11245.1491471111,3590.0,10.0,10558.0
Gabon,Africa,Sub-Saharan Africa,2119275.0,0.0,87000.0,92000.0,4000.0,0.07,3.62901534185376,20757.0723768678,7480.0,4.0,7581.0
Malte,Europe,Southern Europe,439248.0,0.0,10000.0,13000.0,4000.0,0.91,5.09396758978883,66588.9783797742,33310.0,3.0,905.0
Seychelles,Africa,Sub-Saharan Africa,97096.0,0.0,4000.0,4000.0,2000.0,0.76,-1.03530088431952,32705.944308693,15000.0,0.0,7456.0
Macédoine du Nord,Europe,Southern Europe,2082956.9999999998,1000.0,37000.0,38000.0,2000.0,0.12,9.36187249769016,26331.6349243128,7570.0,5.0,1638.0
Monténégro,Europe,Southern Europe,627809.0,0.0,11000.0,12000.0,2000.0,-0.06,8.58476910455403,31747.7926309416,10480.0,0.0,1639.0
Bhoutan,Asia,Southern Asia,754388.0,0.0,3000.0,4000.0,1000.0,0.86,4.22934419929261,15063.8105697833,3600.0,0.0,10611.0
Sainte-Lucie,Americas,Latin America and the Caribbean,181889.0,0.0,11000.0,12000.0,1000.0,0.87,4.07060821926204,25974.1960274448,11770.0,0.0,6760.0
Kiribati,Oceania,Micronesia,115847.0,0.0,2000.0,3000.0,1000.0,1.12,9.28307374517721,3546.91818832629,3340.0,0.0,17080.0
Botswana,Africa,Sub-Saharan Africa,2254068.0,0.0,5000.0,7000.0,1000.0,1.08,5.0676154934383,20916.4015457301,8250.0,16.0,10912.0
Vanuatu,Oceania,Melanesia,292680.0,0.0,5000.0,5000.0,1000.0,0.95,6.67930581887121,3460.93371361519,3730.0,0.0,18329.0
Tonga,Oceania,Polynesia,103197.0,0.0,9000.0,10000.0,0.0,1.11,6.35112980255189,7393.79668459425,5260.0,0.0,19501.0
Dominique,Americas,Latin America and the Caribbean,71625.0,0.0,4000.0,3000.0,0.0,1.3,4.22769324983409,19333.7646058722,9220.0,0.0,6718.0
Antigua-et-Barbuda,Americas,Latin America and the Caribbean,96286.0,0.0,7000.0,6000.0,0.0,0.94,5.06713865364213,32149.1403648823,18900.0,0.0,6688.0
Grenade,Americas,Latin America and the Caribbean,111454.0,0.0,8000.0,6000.0,0.0,1.04,2.69612269814564,18807.9447446443,10030.0,0.0,6875.0
Saint-Kitts-et-Nevis,Americas,Latin America and the Caribbean,52441.0,0.0,3000.0,3000.0,0.0,0.94,3.55711230848243,33749.700420686,21090.0,0.0,6779.0
Tuvalu,Oceania,Polynesia,11508.0,0.0,0.0,0.0,0.0,1.18,0.5005807431527,6150.99970413823,8100.0,0.0,19204.0
Saint-Vincent-et-les Grenadines,Americas,Latin America and the Caribbean,110211.0,0.0,10000.0,10000.0,0.0,1.04,4.56457719814894,20349.2285703519,9620.0,0.0,6838.0
Maldives,Asia,Southern Asia,515696.0,0.0,18000.0,11000.0,0.0,0.67,2.92746542425035,24735.0754169658,10570.0,2.0,7817.0
Micronésie (États fédérés de),Oceania,Micronesia,112640.0,0.0,4000.0,4000.0,0.0,1.21,5.40874375479067,4313.62760101578,4130.0,0.0,15786.0
Samoa,Oceania,Polynesia,196129.0,0.0,17000.0,16000.0,0.0,1.08,10.9618822286844,6996.84192109141,3780.0,0.0,19141.0
Cabo Verde,Africa,Sub-Saharan Africa,543767.0,0.0,13000.0,14000.0,0.0,0.93,3.72437517668748,10308.6791674628,4550.0,0.0,3783.0
Luxembourg,Europe,Western Europe,604245.0,2000.0,14000.0,13000.0,0.0,1.06,3.74140361983136,143809.50584454,89200.0,1.0,3456.0
Djibouti,Africa,Sub-Saharan Africa,958923.0,0.0,4000.0,4000.0,0.0,-0.51,1.49506816515088,7103.6910898466,3320.0,0.0,4502.0
Mongolie,Asia,Eastern Asia,3170216.0,0.0,24000.0,24000.0,0.0,0.53,10.3475831314339,18004.8512058355,4210.0,12.0,15425.0
Nauru,Oceania,Micronesia,10670.0,0.0,1000.0,1000.0,0.0,0.88,-0.124750499001971,13831.8119737926,22520.0,0.0,18000.0
